Description,End Time,Facility Code,Participant Code,Reason,Start Time,Status,Number of Records,Outage MW,Outage Time Days,Outage Time Minutes,Recovery Time Minutes
a network outage in Denmark caused the windfarm to trip at 6:26 am,12/28/2017 10:00:00 AM,DNHR_DENMARK_WF1,DNHR,Consequential,12/28/2017 6:00:00 AM,Approved,1,1.44,0.166666667,0.000115741,0
Forced Outage - BS on Overhead line pole S-81 - CG10/11,12/26/2017 12:00:00 PM,COLLGAR_WF1,COLLGAR,Forced,12/26/2017 9:00:00 AM,Approved,1,30,0.125,8.680555556e-05,
Under generation - ambient conditions,12/31/2017 9:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/31/2017 9:00:00 AM,Approved,1,5.703,0,0,0
Under generation - ambient conditions,12/31/2017 8:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/31/2017 8:30:00 AM,Approved,1,5.085,0,0,0
Under generation - ambient conditions,12/31/2017 8:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/31/2017 8:00:00 AM,Approved,1,5.02,0,0,0
Under generation - ambient conditions,12/30/2017 11:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/30/2017 11:30:00 PM,Approved,1,5.79,0,0,0
Under generation - ambient conditions,12/30/2017 11:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/30/2017 11:00:00 PM,Approved,1,5.412,0,0,0
Under generation - ambient conditions,12/30/2017 10:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/30/2017 10:30:00 PM,Approved,1,4.735,0,0,0
Under generation - ambient conditions,12/29/2017 11:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/29/2017 11:30:00 PM,Approved,1,4.245,0,0,0
Under generation - ambient conditions,12/29/2017 11:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/29/2017 11:00:00 PM,Approved,1,3.962,0,0,0
Under generation - ambient conditions,12/29/2017 10:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/29/2017 10:30:00 PM,Approved,1,4.036,0,0,0
Under generation - ambient conditions,12/28/2017 5:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/28/2017 5:00:00 AM,Approved,1,4.472,0,0,0
Under generation - ambient conditions,12/28/2017 4:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/28/2017 4:30:00 AM,Approved,1,4.112,0,0,0
Under generation - ambient conditions,12/27/2017 5:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/27/2017 5:30:00 AM,Approved,1,4.088,0,0,0
Under generation - ambient conditions,12/27/2017 5:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/27/2017 5:00:00 AM,Approved,1,3.414,0,0,0
Under generation - ambient conditions,12/27/2017 4:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/27/2017 4:30:00 AM,Approved,1,3.594,0,0,0
Boiler feedpump capacity,12/30/2017 6:30:00 PM,MELK_G7,MELK,Forced,12/30/2017 6:30:00 PM,Approved,1,4,0,0,0
Rotary Air Heater seals,12/30/2017 6:30:00 PM,MELK_G7,MELK,Forced,12/30/2017 5:30:00 PM,Approved,1,4.721,0.041666667,2.893518519e-05,0
High silica restriction,1/1/2018 7:00:00 PM,MELK_G7,MELK,Forced,12/30/2017 7:30:00 PM,Approved,1,28.977,1.979166667,0.001374421,12
Turbine governor valve fault,12/30/2017 2:00:00 PM,MELK_G7,MELK,Forced,12/30/2017 1:00:00 PM,Approved,1,47.108,0.041666667,2.893518519e-05,12
High silica restriction,12/30/2017 11:30:00 AM,MELK_G7,MELK,Forced,12/29/2017 9:30:00 PM,Approved,1,39.108,0.583333333,0.000405093,12
Reduced generation capability,1/7/2018 9:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 5:00:00 PM,Approved,1,1,18.1875,0.012630208,
Deviation from resource plan,12/30/2017 4:00:00 PM,TIWEST_COG1,TRMOS,Forced,12/30/2017 4:00:00 PM,Approved,1,12.64,0,0,
Deviation from resource plan,12/27/2017 5:00:00 PM,TIWEST_COG1,TRMOS,Forced,12/27/2017 5:00:00 PM,Approved,1,21.29,0,0,
Deviation from resource plan,12/25/2017 5:00:00 PM,TIWEST_COG1,TRMOS,Forced,12/25/2017 5:00:00 PM,Approved,1,21.93,0,0,
Deviation from resource plan,12/25/2017 4:30:00 PM,TIWEST_COG1,TRMOS,Forced,12/25/2017 4:30:00 PM,Approved,1,25.22,0,0,
Deviation from resource plan,12/25/2017 5:30:00 PM,TIWEST_COG1,TRMOS,Forced,12/25/2017 5:30:00 PM,Cancelled By Market Participant,1,20.92,0,0,0
Deviation from resource plan,12/25/2017 4:30:00 PM,TIWEST_COG1,TRMOS,Forced,12/25/2017 4:30:00 PM,Cancelled By Market Participant,1,22.94,0,0,0
Forced outage due to master protective start up lockout alarm,1/3/2018 10:30:00 AM,WEST_KALGOORLIE_GT2,WGUTD,Forced,12/30/2017 9:00:00 AM,Approved,1,38.827,4.0625,0.002821181,
Forced outage due to a high vibration alert on power turbine,1/2/2018 11:00:00 AM,KORL_GT3,KORL,Forced,12/31/2017 10:30:00 AM,Approved,1,103.2,2.020833333,0.001403356,0
Forced outage due to a high vibration alert on power turbine,12/31/2017 10:00:00 AM,KORL_GT3,KORL,Forced,12/31/2017 10:00:00 AM,Approved,1,92.88,0,0,
Steam turbine rebuild and cold commissioning,1/8/2018 11:00:00 AM,COLLGAR_WF1,COLLGAR,Forced,12/31/2017 6:00:00 PM,Approved,1,253.288,7.708333333,0.005353009,
Forced outage due to master protective lockout,12/28/2017 2:00:00 PM,WEST_KALGOORLIE_GT2,WGUTD,Forced,12/28/2017 2:00:00 PM,Approved,1,32.356,0,0,0
Forced outage due to master protective lockout,12/28/2017 1:30:00 PM,WEST_KALGOORLIE_GT2,WGUTD,Forced,12/28/2017 1:30:00 PM,Approved,1,19.4,0,0,
Forced outage due to a faulty fire damper limit switch,12/28/2017 12:00:00 AM,PJRH_GT11,PJRH,Forced,12/28/2017 12:00:00 AM,Approved,1,43.3,0,0,0
Forced outage due to a faulty fire damper limit switch,12/28/2017 11:00:00 AM,PJRH_GT11,PJRH,Forced,12/28/2017 11:00:00 AM,Approved,1,26,0,0,0
Forced outage due to a faulty fire damper limit switch,12/28/2017 10:30:00 AM,PJRH_GT11,PJRH,Forced,12/28/2017 12:30:00 AM,Approved,1,130,0.416666667,0.000289352,0
Forced outage due to a faulty fire damper limit switch,12/28/2017 12:00:00 AM,PJRH_GT11,PJRH,Forced,12/28/2017 12:00:00 AM,Cancelled By Market Participant,1,43.3,0,0,0
Deviation from resource plan,12/21/2017 3:30:00 PM,TIWEST_COG1,TRMOS,Forced,12/21/2017 3:30:00 PM,Approved,1,18.44,0,0,
Deviation from resource plan,12/18/2017 8:00:00 PM,TIWEST_COG1,TRMOS,Forced,12/18/2017 8:00:00 PM,Approved,1,14.8,0,0,
Deviation from resource plan,12/18/2017 5:30:00 PM,TIWEST_COG1,TRMOS,Forced,12/18/2017 5:30:00 PM,Approved,1,20.92,0,0,
Deviation from resource plan,12/18/2017 4:30:00 PM,TIWEST_COG1,TRMOS,Forced,12/18/2017 4:30:00 PM,Approved,1,22.94,0,0,
Reduced Load,12/29/2017 5:30:00 PM,MELK_G7,MELK,Opportunistic Maintenance (Planned),12/29/2017 3:30:00 PM,Approved,1,120,0.083333333,5.787037037e-05,1
Refinery Issues - Steam/Power Imbalance,12/29/2017 12:00:00 PM,AUXC_WGP,AUXC,Forced,12/29/2017 12:00:00 PM,Approved,1,12.87,0,0,
"KNS GT Tripped on vibration alarm, 4 hour lock out.",12/23/2017 1:30:00 AM,STHRNCRS_EG,STHRNCRS,Forced,12/22/2017 8:00:00 PM,Approved,1,23,0.229166667,0.000159144,
Output reduced due to ambient conditions,12/22/2017 1:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/22/2017 1:00:00 PM,Approved,1,34.411,0,0,0
Output reduced due to ambient conditions,12/22/2017 12:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/22/2017 12:30:00 PM,Approved,1,36.676,0,0,0
Unit slow to ramp up,12/21/2017 9:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 9:30:00 AM,Approved,1,19.051,0,0,0
Unit slow to ramp up,12/21/2017 9:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 9:00:00 AM,Approved,1,63.218,0,0,0
Unit slow to ramp up,12/21/2017 8:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 8:00:00 AM,Approved,1,119.31,0,0,0
Full unit trip,12/21/2017 7:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 7:30:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 7:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 7:00:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 6:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 6:30:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 6:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 6:00:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 5:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 5:30:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 5:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 5:00:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 4:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 4:30:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 4:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 4:00:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 3:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 3:30:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 3:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 3:00:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 2:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 2:30:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 2:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 2:00:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 1:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 1:30:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 1:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 1:00:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 12:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 12:30:00 AM,Approved,1,143,0,0,0
Full unit trip,12/21/2017 12:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 12:00:00 AM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 11:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 11:30:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 11:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 11:00:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 10:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 10:30:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 10:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 10:00:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 9:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 9:30:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 9:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 9:00:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 8:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 8:30:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 8:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 8:00:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 7:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 7:30:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 7:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 7:00:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 6:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 6:30:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 6:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 6:00:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 5:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 5:30:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 5:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 5:00:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 4:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 4:30:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 4:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 4:00:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 3:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 3:30:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 3:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 3:00:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 2:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 2:30:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 2:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 2:00:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 1:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 1:30:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 1:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 1:00:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 12:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 12:30:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 12:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 12:00:00 PM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 11:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 11:30:00 AM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 11:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 11:00:00 AM,Approved,1,143,0,0,0
Full unit trip,12/20/2017 10:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 10:30:00 AM,Approved,1,27.866,0,0,0
Output reduced due to ambient conditions,12/26/2017 6:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/26/2017 6:00:00 AM,Approved,1,4.628,0,0,0
Output reduced due to ambient conditions,12/26/2017 5:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/26/2017 5:30:00 AM,Approved,1,3.405,0,0,0
Output reduced due to ambient conditions,12/26/2017 5:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/26/2017 5:00:00 AM,Approved,1,2.771,0,0,0
Output reduced due to ambient conditions,12/26/2017 4:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/26/2017 4:30:00 AM,Approved,1,2.504,0,0,0
Output reduced due to ambient conditions,12/25/2017 6:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/25/2017 6:30:00 PM,Approved,1,4.459,0,0,0
Output reduced due to ambient conditions,12/25/2017 6:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/25/2017 6:00:00 PM,Approved,1,4.763,0,0,0
Output reduced due to ambient conditions,12/25/2017 5:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/25/2017 5:30:00 PM,Approved,1,5.444,0,0,0
Output reduced due to ambient conditions,12/25/2017 5:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/25/2017 5:00:00 PM,Approved,1,5.763,0,0,0
Output reduced due to ambient conditions,12/25/2017 4:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/25/2017 4:30:00 PM,Approved,1,6.539,0,0,0
Output reduced due to ambient conditions,12/25/2017 3:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/25/2017 3:00:00 AM,Approved,1,2.842,0,0,0
Output reduced due to ambient conditions,12/23/2017 9:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/23/2017 9:30:00 PM,Approved,1,3.84,0,0,0
Output reduced due to ambient conditions,12/23/2017 9:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/23/2017 9:00:00 PM,Approved,1,3.586,0,0,0
Output reduced due to ambient conditions,12/23/2017 8:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/23/2017 8:30:00 PM,Approved,1,4.137,0,0,0
Output reduced due to ambient conditions,12/23/2017 8:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/23/2017 8:00:00 PM,Approved,1,4.696,0,0,0
Output reduced due to ambient conditions,12/21/2017 11:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 11:00:00 AM,Approved,1,12.358,0,0,0
Output reduced due to ambient conditions,12/21/2017 10:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 10:30:00 AM,Approved,1,20.639,0,0,0
Output reduced due to ambient conditions,12/21/2017 9:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 9:30:00 AM,Approved,1,13.241,0,0,0
Output reduced due to ambient conditions,12/21/2017 9:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 9:00:00 AM,Approved,1,12.68,0,0,0
Output reduced due to ambient conditions,12/21/2017 8:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/21/2017 8:30:00 AM,Approved,1,10.234,0,0,0
Output reduced due to ambient conditions,12/20/2017 6:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 6:30:00 PM,Approved,1,7.698,0,0,0
Plant steam imbalance,12/25/2017 11:30:00 AM,AUXC_WGP,AUXC,Forced,12/25/2017 11:30:00 AM,Approved,1,13.74,0,0,
Plant steam imbalance,12/25/2017 11:00:00 AM,AUXC_WGP,AUXC,Forced,12/25/2017 11:00:00 AM,Approved,1,17.26,0,0,
Steam plant imbalance.,12/25/2017 10:30:00 AM,AUXC_WGP,AUXC,Forced,12/25/2017 10:30:00 AM,Approved,1,14.01,0,0,
Wind farm tripped,12/18/2017 4:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/18/2017 4:00:00 PM,Approved,1,89.1,0,0,
Slow to ramp up,12/14/2017 10:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/14/2017 10:30:00 AM,Approved,1,164.4,0,0,0
Slow to ramp up,12/17/2017 2:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/17/2017 2:30:00 PM,Approved,1,26.17,0,0,0
An unplanned load increase (?behind-the-fence?) led to a reduction in available capacity,12/8/2017 3:30:00 PM,STHRNCRS_EG,STHRNCRS,Forced,12/8/2017 3:00:00 PM,Approved,1,11,0.020833333,1.446759259e-05,
Partial forced outage due to failed NOx water injection,12/20/2017 6:00:00 PM,KORL_GT3,KORL,Forced,12/20/2017 6:00:00 PM,Approved,1,68.16,0,0,
ODOM to rectify leaking generator jacking oil system,12/21/2017 3:00:00 PM,PJRH_GT11,PJRH,Opportunistic Maintenance (Planned),12/21/2017 9:30:00 AM,Approved,1,118.609,0.229166667,0.000159144,0
ODOM to test trip settings on generator,12/21/2017 3:30:00 PM,PJRH_GT11,PJRH,Opportunistic Maintenance (Planned),12/21/2017 1:30:00 PM,Approved,1,118.609,0.083333333,5.787037037e-05,0
High silica restriction,12/19/2017 11:00:00 AM,MELK_G7,MELK,Forced,12/18/2017 3:00:00 PM,Approved,1,18.977,0.833333333,0.000578704,12
High silica restriction,12/13/2017 9:00:00 AM,MELK_G7,MELK,Forced,12/12/2017 3:00:00 PM,Approved,1,26.108,0.75,0.000520833,12
High silica restriction,12/12/2017 2:30:00 PM,MELK_G7,MELK,Forced,12/12/2017 10:00:00 AM,Approved,1,33.108,0.1875,0.000130208,12
High silica restriction,12/12/2017 9:30:00 AM,MELK_G7,MELK,Forced,12/11/2017 12:30:00 PM,Approved,1,41.108,0.875,0.000607639,12
High silica restriction,12/11/2017 12:00:00 PM,MELK_G7,MELK,Forced,12/11/2017 12:00:00 PM,Approved,1,36.108,0,0,12
High silica restriction,12/11/2017 11:30:00 AM,MELK_G7,MELK,Forced,12/11/2017 11:00:00 AM,Approved,1,31.108,0.020833333,1.446759259e-05,12
RAH high load,12/11/2017 8:00:00 AM,MELK_G7,MELK,Forced,12/11/2017 6:30:00 AM,Approved,1,31.108,0.0625,4.340277778e-05,12
ID fan control limitation,12/10/2017 4:30:00 PM,MELK_G7,MELK,Forced,12/9/2017 4:30:00 PM,Approved,1,126.108,1,0.000694444,12
Deviation from resource plan,12/16/2017 8:30:00 PM,TIWEST_COG1,TRMOS,Forced,12/16/2017 8:30:00 PM,Approved,1,8.27,0,0,
Deviation from resource plan,12/16/2017 6:30:00 PM,TIWEST_COG1,TRMOS,Forced,12/16/2017 6:30:00 PM,Approved,1,14.37,0,0,
Deviation from resource plan,12/15/2017 3:30:00 PM,TIWEST_COG1,TRMOS,Forced,12/15/2017 3:30:00 PM,Approved,1,8.84,0,0,
Deviation from resource plan,12/12/2017 8:30:00 PM,TIWEST_COG1,TRMOS,Forced,12/12/2017 8:30:00 PM,Approved,1,24.06,0,0,
Enable signal was removed due to switching to rectify faults on Western Power feeder. Site cannot operate without enable signal. Will request conversion to consequential.,12/21/2017 10:30:00 AM,TESLA_PICTON_G1,TSLA_MGT,Consequential,12/21/2017 7:30:00 AM,Approved,1,9.9,0.125,8.680555556e-05,0
Steam Turbine rotor maintenace,12/31/2017 5:30:00 PM,COLLGAR_WF1,COLLGAR,Forced,12/7/2017 6:00:00 PM,Approved,1,13.288,23.979166667,0.016652199,
"APLD operated, separating PRK_AG from the SWIS",12/11/2017 6:30:00 PM,PMC_AG,PMC,Consequential,12/11/2017 1:30:00 PM,Approved,1,68,0.208333333,0.000144676,0
"APLD operated, separating STHRNCRS_EG from the SWIS",12/11/2017 6:00:00 PM,STHRNCRS_EG,STHRNCRS,Consequential,12/11/2017 1:30:00 PM,Approved,1,23,0.1875,0.000130208,0
Forced outage due to failed to synchronise,12/18/2017 5:00:00 PM,KORL_GT3,KORL,Forced,12/18/2017 5:00:00 PM,Approved,1,48.16,0,0,
Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,12/17/2017 7:30:00 AM,COLLGAR_WF1,COLLGAR,Forced,12/15/2017 11:30:00 AM,Approved,1,10,1.833333333,0.001273148,
Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,12/15/2017 11:00:00 AM,COLLGAR_WF1,COLLGAR,Forced,12/14/2017 7:30:00 PM,Approved,1,14,0.645833333,0.000448495,
Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,12/14/2017 7:00:00 PM,COLLGAR_WF1,COLLGAR,Forced,12/14/2017 6:00:00 PM,Approved,1,7,0.041666667,2.893518519e-05,
Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,12/14/2017 5:30:00 PM,COLLGAR_WF1,COLLGAR,Forced,12/14/2017 5:00:00 PM,Approved,1,31,0.020833333,1.446759259e-05,
"Consequential Outage - Anti-islanding issue caused by stormy weather. Collgar constrained ""to maintain security"" (WP DA#17521 & 17522)",12/17/2017 2:30:00 PM,COLLGAR_WF1,COLLGAR,Consequential,12/17/2017 8:00:00 AM,Approved,1,206,0.270833333,0.000188079,
"Consequential Outage (MU BTT3 equipment failure resulted in Collgar constraint to ""maintain system security"" (WP DA17505 & contacted via phone by Control Room to advise that the outage from 13/12/17 would resume)",12/14/2017 3:30:00 PM,COLLGAR_WF1,COLLGAR,Consequential,12/14/2017 10:00:00 AM,Approved,1,154,0.229166667,0.000159144,
"Consequential Outage (MU BTT3 equipment failure resulted in Collgar constraint to ""maintain system security"" (WP DA17505)",12/13/2017 4:30:00 PM,COLLGAR_WF1,COLLGAR,Consequential,12/13/2017 4:00:00 PM,Approved,1,154,0.020833333,1.446759259e-05,
Consequential Outage - 220kV line tripped at 13:57 as a result of lightening (WP DA#17502),12/11/2017 10:30:00 PM,COLLGAR_WF1,COLLGAR,Consequential,12/11/2017 1:30:00 PM,Approved,1,206,0.375,0.000260417,
Forced outage due to communication errors,12/18/2017 10:00:00 AM,KORL_GT3,KORL,Forced,12/18/2017 10:00:00 AM,Approved,1,82.56,0,0,0
Forced outage due to communication errors,12/18/2017 9:30:00 AM,KORL_GT3,KORL,Forced,12/17/2017 6:30:00 PM,Approved,1,103.2,0.625,0.000434028,0
Forced outage due to communication errors,12/17/2017 6:00:00 PM,KORL_GT3,KORL,Forced,12/17/2017 6:00:00 PM,Approved,1,58.48,0,0,
Wind farm output limited,12/18/2017 6:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/18/2017 4:30:00 PM,Approved,1,44.1,0.0625,4.340277778e-05,
Wind farm tripped,12/18/2017 3:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/18/2017 1:30:00 PM,Approved,1,58,0.083333333,5.787037037e-05,
Islanded on Tronox Instructions due to Serve Weather.,12/18/2017 12:00:00 PM,TIWEST_COG1,TRMOS,Forced,12/17/2017 11:30:00 PM,Approved,1,42.1,0.520833333,0.000361690,
Delayed Unit RTS,12/18/2017 9:30:00 AM,MELK_G7,MELK,Forced,12/18/2017 8:00:00 AM,Approved,1,208.977,0.0625,4.340277778e-05,12
Partial Forced outage due to lose of gas compressor,12/17/2017 6:00:00 PM,KORL_GT3,KORL,Forced,12/17/2017 6:00:00 PM,Approved,1,18.72,0,0,0
Partial Forced outage due to lose of gas compressor,12/17/2017 5:30:00 PM,KORL_GT3,KORL,Forced,12/17/2017 10:30:00 AM,Approved,1,43.2,0.291666667,0.000202546,0
Enable signal was removed due to a Western Power feeder drop out caused by bad weather. Site cannot operate without enable signal. Will request conversion to consequential.,12/17/2017 6:00:00 PM,TESLA_PICTON_G1,TSLA_MGT,Consequential,12/17/2017 5:30:00 PM,Approved,1,9.9,0.020833333,1.446759259e-05,0
Forced outage due to lose of gas compressor,12/17/2017 10:00:00 AM,KORL_GT3,KORL,Forced,12/17/2017 10:00:00 AM,Approved,1,27.36,0,0,
FD fan control limitation,12/17/2017 4:00:00 PM,MELK_G7,MELK,Forced,12/16/2017 4:30:00 AM,Approved,1,78.977,1.479166667,0.001027199,12
FD fan inspection and repairs,12/18/2017 7:30:00 AM,MELK_G7,MELK,Opportunistic Maintenance (Planned),12/17/2017 8:00:00 AM,Approved,1,130,0.979166667,0.000679977,12
FD fan inspection and repairs,12/18/2017 7:30:00 AM,MELK_G7,MELK,Opportunistic Maintenance (Planned),12/17/2017 8:00:00 AM,Cancelled By Market Participant,1,208.977,0.979166667,0.000679977,12
ID Fan East OOS,12/19/2017 5:00:00 PM,MELK_G7,MELK,Scheduled (Planned),12/17/2017 8:00:00 AM,Cancelled By Market Participant,1,83,2.375,0.001649306,12
Operational issues caused real time forced outage.,12/3/2017 6:00:00 PM,PMC_AG,PMC,Forced,12/3/2017 6:00:00 PM,Approved,1,83.75,0,0,0
Operational issues caused real time forced outage.,12/3/2017 5:30:00 PM,PMC_AG,PMC,Forced,12/3/2017 2:00:00 PM,Approved,1,84.057,0.145833333,0.000101273,0
